Comments,sentiment_label,sentiment_score,sentiment_numeric
"""I'm glad I don't have an Apple Vision Pro when I go hiking tomorrow, because I prefer to be in the real world.""",Negative,0.9878799319,-1
"""it does more of the fundimentals right"" and it better fucking do them perfectly for 3500 bucks",Positive,0.4806159735,1
"""There can't be a delay between things happening and you seeing them"" Yeah, because it's annoying, but especially because of the idiots driving their Tesla wearing it... 🙄
As an Apple hater, who will never give money to that evil company, I have to admit that this tech is amazing. And it may bring 3D movies back! Remember 3D TVs? Yeah, that was a thing 10 years ago and flopped so hard 😂
How good is the low light performance of the cameras? A night vision mode would be cool^^
And Bytedance (TikTok) and China must love this thing... I'm pretty sure there's already a whole building full of chinese hackers trying to hack this thing 😅",Positive,0.8631386757,1
$3000 extra for 10% better and shadows on the ground.       I cant agree with you..,Neutral,0.5987222195,0
(7:47) Sure. I'm reminded of seeing Steve Jobs' laptop with a bit of black tape over the camera.,Neutral,0.8767775893,0
"@1:18 I don't see that as a good bet, there is little to no incentive for developers to make apps for the VP because 1. it'll cost a huge amount of money 2. The user base will be too small. Combine that with Apple's fees and no developer will see a return on their app. It's the big reason why Netflix etc have opted out. As i understand there are already some higher end VR products out their for developers, I don't see why they would opts for something like this over the greater flexibility offered by non apple products",Negative,0.7162957191,-1
"@21:50
your statement here is so true. All these devices, which pretty much were the predecessors of Apple Vision Pro had this issue, that people were feeling disconnected. 
Why Apple will succeed though, is that we are at this point in time, that people have been disconnected and no longer search for contact. This is why I believe this is different. ANd in ~3-5 years time that this will be have a couple of revisions, more apps and be cheaper and with people becoming more distant , I see why this can succeed.",Neutral,0.9019665122,0
"@23:55 I disagree. Apple would never do that. They would want to sell you both a Macbook and the Apple Vision Pro. That is why Macbooks don't have a touchscreen, they need to sell iPads, and it is why you can't do real work on a Vision Pro, you still need a Macbook, and use the Vision Pro as an extra screen. And I have just recently used a Quest 3 and it can do many of the things the Vision Pro does, and quite well, and as some put it already, you can buy 7 generations of the Quest headsets for the price of a single Vision Pro.",Neutral,0.9494168758,0
"@Mrwhosetheboss Apple's vision pro is a very good tech, why is everyone forgetting about Microsoft's Hololens and hololens 2 which is AR as opposed to VR (shows video feed of the real world) in vision pro. Also the App localization (SLAM) in vision pro is not new, hololens had it in their very first variant.
Everyone is comparing apple's vision pro with Meta Quest and I think hololens is lost in this. We would love to hear your thoughts about it.",Positive,0.6812520027,1
"[7:55] This is exactly one of the MAJOR reasons why we were so willing to get an  VISION PRO, as I do NOT trust any other company to protect our privacy in this particular MATTER… 

Meta (Facebook) | Amazon | Alphabet (Google) all make their money from selling your data and tracking your internet browsing, that I would NEVER trust those companies with cameras or microphones into my OWN personal space… 

😳",Positive,0.5059583783,1
"…interesting thoughts. The big problem with headsets…is the headset. Who wants to be alone all the time? Watching movies, working, gaming with VR headsets are solitary even in a room of people. Apple, Meta, Sony are all solving for a problem that does not exist. VR has been on the horizon for 20 years (truly even longer). I tried the Vision Pro. Amazing technology and absolutely useless for a real world anything.  Great demos but nah. I could be wrong.",Negative,0.9286883473,-1
"0:32 ""The apple vision pro, maybe the biggest product in the company's entire history""
Hmmmmm",Neutral,0.9739750028,0
1:07 i knew at some point mars rovers is coming to apple vision pro : ) (btw I know not actually),Neutral,0.9044646025,0
1:19 How is the sound bleed from the AVP when watching a movie on the train or flight with people next to you? Do you end up needing AirPods anyway?,Neutral,0.9074014425,0
"10:10 you have apple vision pro.....
now travel in economy class
Lol😂",Positive,0.9589321613,1
